#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 199000      1.88e+00      3.20e-03      6.67e-02    8.0e-04
 200000      1.82e+00      2.02e-02      6.44e-02    7.9e-04
 201000      1.96e+00      1.44e-04      6.96e-02    7.9e-04
 202000      2.29e+00      8.02e-03      8.11e-02    7.9e-04
 203000      1.83e+00      8.52e-03      6.51e-02    7.9e-04
 204000      2.57e+00      1.30e-02      9.12e-02    7.9e-04
 205000      2.04e+00      6.20e-03      7.27e-02    7.9e-04
 206000      1.84e+00      1.13e-02      6.54e-02    7.9e-04
 207000      1.80e+00      1.23e-02      6.41e-02    7.9e-04
 208000      1.67e+00      1.88e-02      5.92e-02    7.9e-04
 209000      1.75e+00      1.87e-03      6.23e-02    7.9e-04
 210000      1.83e+00      5.44e-03      6.53e-02    7.9e-04
 211000      2.23e+00      2.48e-02      7.95e-02    7.9e-04
 212000      1.95e+00      1.04e-02      6.96e-02    7.9e-04
 213000      2.04e+00      1.59e-02      7.27e-02    7.9e-04
 214000      2.34e+00      9.27e-03      8.34e-02    7.9e-04
 215000      1.95e+00      1.61e-02      6.97e-02    7.8e-04
 216000      1.93e+00      7.22e-03      6.89e-02    7.8e-04
 217000      1.83e+00      5.05e-03      6.55e-02    7.8e-04
 218000      2.02e+00      1.08e-03      7.23e-02    7.8e-04
 219000      2.05e+00      1.22e-02      7.35e-02    7.8e-04
 220000      1.85e+00      6.54e-03      6.65e-02    7.8e-04
 221000      1.83e+00      2.55e-02      6.53e-02    7.8e-04
 222000      1.63e+00      4.83e-03      5.85e-02    7.8e-04
 223000      1.97e+00      1.76e-03      7.07e-02    7.8e-04
 224000      2.17e+00      3.75e-02      7.73e-02    7.8e-04
 225000      1.83e+00      1.04e-02      6.59e-02    7.7e-04
 226000      1.56e+00      1.05e-02      5.61e-02    7.7e-04
 227000      1.97e+00      2.91e-03      7.10e-02    7.7e-04
 228000      1.83e+00      3.63e-03      6.58e-02    7.7e-04
 229000      1.96e+00      1.68e-03      7.07e-02    7.7e-04
 230000      1.62e+00      1.78e-02      5.81e-02    7.7e-04
 231000      1.89e+00      4.22e-02      6.76e-02    7.7e-04
 232000      1.79e+00      2.29e-02      6.42e-02    7.7e-04
 233000      1.87e+00      5.72e-04      6.76e-02    7.7e-04
 234000      2.05e+00      8.37e-04      7.41e-02    7.7e-04
 235000      2.29e+00      1.12e-02      8.30e-02    7.6e-04
 236000      1.84e+00      2.27e-03      6.68e-02    7.6e-04
 237000      1.83e+00      8.23e-03      6.63e-02    7.6e-04
 238000      1.66e+00      8.86e-03      6.01e-02    7.6e-04
 239000      2.83e+00      1.19e-03      1.02e-01    7.6e-04
 240000      1.52e+00      3.22e-03      5.51e-02    7.6e-04
 241000      1.65e+00      1.52e-02      6.00e-02    7.6e-04
 242000      1.78e+00      4.50e-03      6.45e-02    7.6e-04
 243000      1.72e+00      4.23e-03      6.24e-02    7.6e-04
 244000      1.87e+00      2.08e-02      6.78e-02    7.6e-04
 245000      1.55e+00      3.08e-02      5.58e-02    7.5e-04
 246000      1.87e+00      5.19e-03      6.79e-02    7.5e-04
 247000      1.91e+00      4.05e-03      6.96e-02    7.5e-04
 248000      2.31e+00      1.64e-02      8.41e-02    7.5e-04
 249000      2.10e+00      1.80e-02      7.63e-02    7.5e-04
 250000      1.99e+00      1.67e-02      7.24e-02    7.5e-04
 251000      2.10e+00      3.90e-03      7.66e-02    7.5e-04
 252000      1.92e+00      1.43e-02      6.99e-02    7.5e-04
 253000      1.54e+00      1.83e-03      5.62e-02    7.5e-04
 254000      1.62e+00      1.67e-02      5.92e-02    7.5e-04
 255000      2.38e+00      1.25e-02      8.69e-02    7.5e-04
 256000      1.85e+00      5.83e-03      6.76e-02    7.5e-04
 257000      1.77e+00      4.44e-03      6.48e-02    7.5e-04
 258000      1.94e+00      5.34e-03      7.10e-02    7.5e-04
 259000      1.92e+00      5.41e-03      7.04e-02    7.5e-04
 260000      2.26e+00      1.42e-02      8.29e-02    7.4e-04
